FlowNo,FirstSentTime,LastReceivedTime,FromIP,ToIP,SendToPort,ReceivedFromPort,SentFrameSize,ReceivedFrameSize,SentData,ReceivedData,Protocol,TransactionTime,HasSubFlow,isAbnormal
775,2019-3-8 16:16:57.633871,2019-3-8 16:16:57.709639,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,75.0,false,false
777,2019-3-8 16:16:57.633920,2019-3-8 16:16:57.713387,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,79.0,false,false
776,2019-3-8 16:16:57.633892,2019-3-8 16:16:57.724174,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,90.0,false,false
789,2019-3-8 16:16:57.904489,2019-3-8 16:16:57.972048,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:42:3c:0e:f0:01:05:fd:01:62:01:80:00,10:81:42:3c:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,67.0,false,false
778,2019-3-8 16:16:57.904260,2019-3-8 16:16:57.976895,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:02:56:0e:f0:01:02:87:01:62:01:d2:00,10:81:02:56:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,72.0,false,false
790,2019-3-8 16:16:57.904514,2019-3-8 16:16:57.987219,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:42:46:0e:f0:01:05:fd:01:62:01:80:00,10:81:42:46:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,82.0,false,false
782,2019-3-8 16:16:57.904341,2019-3-8 16:16:58.2563,192.168.2.238,192.168.2.145,3610,3610,60,58,10:81:42:14:0e:f0:01:00:1f:01:62:01:e0:00,10:81:42:14:00:1f:01:0e:f0:01:72:01:e0:02:00:b3,eth:ethertype:ip:udp:data,99.0,false,false
785,2019-3-8 16:16:57.904400,2019-3-8 16:16:58.8071,192.168.2.238,192.168.2.108,3610,3610,60,58,10:81:42:1e:0e:f0:01:00:11:01:62:01:e0:00,10:81:42:1e:00:11:01:0e:f0:01:72:01:e0:02:00:fb,eth:ethertype:ip:udp:data,104.0,false,false
788,2019-3-8 16:16:57.904469,2019-3-8 16:16:58.12539,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:42:32:0e:f0:01:05:fd:01:62:01:80:00,10:81:42:32:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,109.0,false,false
783,2019-3-8 16:16:57.904360,2019-3-8 16:16:58.61457,192.168.2.238,192.168.2.145,3610,3610,60,58,10:81:42:15:0e:f0:01:00:11:01:62:01:e0:00,10:81:42:15:00:11:01:0e:f0:01:72:01:e0:02:00:4e,eth:ethertype:ip:udp:data,158.0,false,false
786,2019-3-8 16:16:57.904419,2019-3-8 16:16:58.67194,192.168.2.238,192.168.2.108,3610,3610,60,57,10:81:42:1f:0e:f0:01:00:12:01:62:01:e0:00,10:81:42:1f:00:12:01:0e:f0:01:72:01:e0:01:1c,eth:ethertype:ip:udp:data,163.0,false,false
779,2019-3-8 16:16:57.904284,2019-3-8 16:16:58.115212,192.168.2.238,192.168.2.202,3610,3610,60,58,10:81:42:0a:0e:f0:01:00:1f:01:62:01:e0:00,10:81:42:0a:00:1f:01:0e:f0:01:72:01:e0:02:00:06,eth:ethertype:ip:udp:data,211.0,false,false
784,2019-3-8 16:16:57.904379,2019-3-8 16:16:58.120017,192.168.2.238,192.168.2.145,3610,3610,60,57,10:81:42:16:0e:f0:01:00:12:01:62:01:e0:00,10:81:42:16:00:12:01:0e:f0:01:72:01:e0:01:38,eth:ethertype:ip:udp:data,216.0,false,false
780,2019-3-8 16:16:57.904291,2019-3-8 16:16:58.341913,192.168.2.238,192.168.2.202,3610,3610,60,58,10:81:42:0b:0e:f0:01:00:1f:02:62:01:e0:00,10:81:42:0b:00:1f:02:0e:f0:01:72:01:e0:02:00:03,eth:ethertype:ip:udp:data,438.0,false,false
781,2019-3-8 16:16:57.904321,2019-3-8 16:16:58.559660,192.168.2.238,192.168.2.202,3610,3610,60,58,10:81:42:0c:0e:f0:01:00:1f:03:62:01:e0:00,10:81:42:0c:00:1f:03:0e:f0:01:72:01:e0:02:00:10,eth:ethertype:ip:udp:data,656.0,false,false
791,2019-3-8 16:16:58.634205,2019-3-8 16:16:58.691197,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,56.0,false,false
792,2019-3-8 16:16:58.634231,2019-3-8 16:16:58.700678,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,66.0,false,false
794,2019-3-8 16:16:58.634279,2019-3-8 16:16:58.707640,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,73.0,false,false
793,2019-3-8 16:16:58.634249,2019-3-8 16:16:58.718153,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,83.0,false,false
798,2019-3-8 16:16:59.634540,2019-3-8 16:16:59.698476,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,63.0,false,false
797,2019-3-8 16:16:59.634508,2019-3-8 16:16:59.705384,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,70.0,false,false
